[25/Nov/2025:17:13:30 +0000] 200 - GET http 64.225.63.240 "/" [Client 204.76.203.212] [Length 568] [Gzip 1.86] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46" "-"
[25/Nov/2025:17:19:35 +0000] 404 - GET http bhbuilders.org "/%22%7D%7D%7B/fldrslt%20/cf4%20/ul%20/ulc4%20/strokec4%20bhbuilders.org%7D%7D" [Client 151.237.177.33] [Length 183] [Gzip 3.21] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36" "-"
[25/Nov/2025:17:31:42 +0000] 200 - GET http 64.225.63.240 "/" [Client 5.187.35.21] [Length 1033] [Gzip -] "-" "-"
[25/Nov/2025:17:35:24 +0000] 304 - GET http 64.225.63.240 "/" [Client 76.37.217.133] [Length 0] [Gzip -] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36" "-"
[25/Nov/2025:17:36:28 +0000] 400 - GET http 64.225.63.240 "/" [Client 45.33.109.18] [Length 252] [Gzip -] "Mozilla/5.0 zgrab/0.x" "-"
[25/Nov/2025:17:46:18 +0000] 400 - - http localhost-nginx-proxy-manager "-" [Client 209.38.248.17] [Length 0] [Gzip -] "-" "-"
[25/Nov/2025:17:47:20 +0000] 400 - GET http bhbuilders.org "/" [Client 139.59.136.184] [Length 0] [Gzip -] "-" "-"
[25/Nov/2025:17:58:11 +0000] 200 - GET http bhbuilders.org "/.well-known/acme-challenge/test-challenge" [Client 136.143.178.51] [Length 7] [Gzip -] "Site24x7-Tools" "-"
[25/Nov/2025:17:58:11 +0000] 200 - GET http bhbuilders.org "/.well-known/acme-challenge/test-challenge" [Client 104.238.181.138] [Length 7] [Gzip -] "None, Site24x7" "-"
[25/Nov/2025:17:58:51 +0000] 400 - - http localhost-nginx-proxy-manager "-" [Client 143.110.155.84] [Length 154] [Gzip -] "-" "-"
[25/Nov/2025:18:01:20 +0000] 200 - GET http www.swifthvacandrefrigeration.com "/" [Client 60.188.57.0] [Length 568] [Gzip 1.86] "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1" "-"
[25/Nov/2025:18:01:35 +0000] 404 - GET http www.swifthvacandrefrigeration.com "/robots.txt" [Client 66.249.66.78] [Length 122] [Gzip 1.35] "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "-"
[25/Nov/2025:18:02:01 +0000] 200 - GET http bhbuilders.org "/" [Client 43.134.141.244] [Length 568] [Gzip 1.86] "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1" "-"
[25/Nov/2025:18:02:52 +0000] 200 - GET http 64.225.63.240 "/" [Client 43.159.152.187] [Length 568] [Gzip 1.86] "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1" "-"
[25/Nov/2025:18:09:53 +0000] 404 - GET http 64.225.63.240 "/developmentserver/metadatauploader" [Client 135.119.89.57] [Length 122] [Gzip 1.35] "Mozilla/5.0 zgrab/0.x" "-"
[25/Nov/2025:18:14:59 +0000] 200 - GET http bhbuilders.org "/" [Client 54.81.150.153] [Length 568] [Gzip 1.86] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36" "-"
[25/Nov/2025:18:15:12 +0000] 404 - GET http swifthvacandrefrigeration.com "/.env" [Client 193.32.162.16] [Length 122] [Gzip 1.35] "Go-http-client/1.1" "-"
